person_id,political_party,source,location,purpose,items_paid_or_provided
681,d,"(JTBF), Consortium of Local & Fed.Bar Associations",,,ot Cara wp tor oper ow a a pw wn o events at conference (not airfaire to/fr om conference)
681,d,Papi Lan Foundation (JTBF),,,"Tn SN ene aS, Tal Trem rl my Ag to events at conference (not airfaire to/ from conference)."
681,d,Prt a TO Counsel Conference,,wii Thu,"Tn SN ene aS, Tal Trem rl my Ag to events at conference (not airfaire to/ from conference)."
680,r,,AEN Nd ARAN 8 VY,a aE VAS,mAs TRE 4 TALS WF AR 4A BAN IST YY AAS RESTS
679,d,Federal Bar Association,"Huntsville, AL",Speaker,"Transportation, meals, hotel, parking"
679,d,Just The Beginning Foundation,"Atlanta, GA",Seminar,"lodging, meals, transportation"
679,d,"Department of Justice, Columbia, Sourth Carolina",,,January 24-February 2 - Instructing judge for the Criminal Trial Advocacy Course (Transportation and Meals)
679,d,Walter F. George School of Law,"Macon, Georgia",Speech,"lodging, meals, mileage"
679,d,Walter F. George School of Law,"Macon, Georgia",Speech,"lodging, meals, mileage"
679,d,,,Advocacy at Intellectual Property SpringPosium,"pa ha dt, ha i"
679,d,Duke Law School,"Durham, NC",Teach,lodging
679,d,New Hope Missionary Baptist Church,"Waukegan, IL",Speech,"lodgmg, meals, transportation"
679,d,Duncan School of Law,"Knoxville, TN",Speech,lodgmg
679,d,Umversity of South Dakota Law School,"Swux Falls, SD",Presentation at Thurgood Marshall Program,"Transportation, meals, hotel"
679,d,,,Event for recipients of circuit and national awards,
679,d,A TT College of Law,,University of Kentucky College of Law,"aa TTT li Ta""."
679,d,Middle Tennessee State University,"Murfreeshoro, TN",Participate in Constitution Day panel presentation,"Mileage, one meal"
679,d,"United States Attorney's Office, New Orleans, LA",,,"February 16-18 - Speaker for USAO Black History Month Program (Transportation, Meals, Lodging) ."
672,d,University of Cincinnati Law School,,,07 Cincinnati OH
672,d,Vationa' Conference o7 3an #ujtcy luc ges,,,"Octoer  5-28, 2003 (trave"
672,d,University of Pennsylvania,Philadelphia PA,Speaker-Educational Prog.,"Transportation, Meals, Room"
672,d,ABAJABI,"New Orleans, LA",Seminar,"Transportation, Meals, Room"
672,d,Northwestern University Moot Court,,,"March 2-3Moot Court Chicago IL (Transportation, Food and Hotel)"
672,d,Just The Beginning Foundation,,,Sept 20-24-Cincinnati OH Conference(Hotel and Food)
672,d,Fratemal Order of Police,Las Vegas NV,Speaker-Legal Seminar,"Trasnsportation, Lodging, Meals"
672,d,NBA Commercial Law,Atlanta GA,Judicial Forum,"transportation, lodging, meals"
672,d,Duberstein Moot Court Competition,New York NY,Moot Court Competition,"transportation, lodgmg, meals"
672,d,Umversity of Pennsylvania Law School,Philadelphia PA,Moot Cort,"(transportation, lodging, meals)"
672,d,Akron Bar Association,Akron OH,Jurist in Residence,"(transportation, lodging, meals)"
672,d,Duke Law School,Charlotte NC,Moot Court Competition,"travel, lodging, food"
668,r,School of Law - Law and Economics Center,,,
668,r,National Center for Juvenile Justice,,,"Pittsburgh, PA"
668,r,Council of Juv. and Family Ct. Judges,,,
668,r,Allegheny County Bar Association,,,"Champion, PA"
668,r,New York Intellectual Property Law Association,,,"New York City, NY"
668,r,"Academy of Trial Lawyers, Allegheny County",,,"Travel expenses, meals and room to attend meeting in Farmington, PA (9/30/04 to 10/01/04)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend annual meeting of Nat. Counc. Of Juv. & Fam. Ct Judges in Portland, OR (7/16/04 to 7/21/04)"
668,r,Allegheny County Bar Association,,,"Travel expenses, meals and room to attend bench-bar conference in Champion, PA (6/17/04 to 6/19/04)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend meeting in Washington, D.C. (5/13/04 to 5/14/04)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend meeting in Washington, D.C. (4/20/04 to 4/21/04)"
668,r,"New York Intellectual Property Law Ass'n, Inc",,,"Travel expenses, meals and room to attend annual dinner in New York, NY (3/25/04 to 3/28/04"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend Bd. of Fellows meeting in Amelia Island, FL (2/20/04 to 2/22/04)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend mid-winter meeting of Nat'l Council of Juv. & Fam Ct. Judges in New Orleans, LA (1-13 to 1-18-04)"
668,r,New York Intellectual Property Law Association,New York. NY,seminar,"Travel expenses, meals and room"
668,r,Allegheny Bar Association,"Champion, PA",seminar,"Travel expenses, meals and room"
668,r,Ice/National Council for Famil y & Juvenile Court Judges,,lath iia,"MET Ral Snead ne, oe en ee"
668,r,National Center for Juvenile Judges/National Council of Juv and Family Ct. Judges,,,"Travel expenses, meals and room to attend meeting in Milwaukee, WI (7/13/06 to 7/19/06)"
668,r,Allegheny County Bar Association,,,"Travel expenses, meals and room to attend bench-bar conference in Champion, PA (6/15/06 to 6/15/06)"
668,r,New York Intellectual Property Law Association,,,"Travel expenses, meals and room to attend meeting in New York City, NY (3/23/06 to 3/26/06)"
668,r,National Center for Juvenile Judges/National Council of Juv and Family Ct. Judges,,,"Travel expenses, meals and room to attend meeting in San Antonio, TX (2/24/06 to 2/26/06)"
668,r,National Council of Juvenile and Family Court Judges,,,"Travel expenses, meals and room to attend meeting in Sonoma, CA (1/9/06 to 1/14/06)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend meeting in Bolton Valley, VT (10/07/06 to 10/09/05)"
668,r,Allegheny County Bar Association,,,"Travel expenses, meals and room to attend bench-bar conference in Champion, PA (6/16/05 to 6/18/05)"
668,r,National Center for Juvenile Justice,,,"Travel expenses, meals and room to attend meeting in Albuquerque, NM (2/18/05 to 2/20/05)"
668,r,"New York Intellectual Property Law Association, Inc",,,3/28/03)
668,r,New York Intellectual Property Association,"New York, NY",seminar,"Travel expenses, meals and room"
668,r,Academy of Trial Lawyers of Allegheny County,"Farmington, PA",seminar,meals and room
665,d,Harvard Law School,"Cambridge, MA",Trial Advocacy Workshop,"Hotel, meals, transportation"
665,d,South Caroling Bar Association,"Charleston, SC",CLE-Seminar,"Hotel, meals, mileage"
665,d,Harvard Law School,"Cambndge, MA",Tnal Advocacy Workshop,"Hotel, meals, transportation"
665,d,American Antitrust Institute,"Stanford, CA",Semmar,"Hotel, meals, transportation"
664,r,Patent Pilot Program,"Washington, D.C",Federal Circuit Patent Pilot Program,"Transportation, meals and hotel"
664,r,Comell Law School,"Ithaca, New York",To judge the Langan Moot Court Competition,"Transportation, meals and hotel"
664,r,New York State Bar Association,New Paltz. New York,NYSBA's Litigation section spring meeting,"I ransportation, meals and hotel"
664,r,Federal Judicial Center,"New York, New York",Preparation of 2011 FDR,Professional fees
664,r,Raich Ende Malter & Co. LLP,New York. NY,Preparing FDR,Professional Fees
664,r,Federal Judicial Center,Long Beach. Calitornia,Nat'l Sentencing Policy,"Transportation, meals, hotel"
664,r,Federal Judicial Center,"Fort Worth, Texas",Death Penaity Workshop,"Transportation, meals, hotel"
664,r,American Bar Association,,,"Washington, D.C"
664,r,American Bar Association Business Law Section,"Toronto, Canada",ABA Annual Meeting,"Transportation, hotel and food"
664,r,Federal Judicial Center,"New York, New York",Preparation of 2010 FDR,Professional fees
664,r,Federal Judicial Center,"Durham, NC",The Law and Terrorism Seminar,"Seminar , transportation, meals, hotel"
664,r,Federal Bar council,"Lenox, MA",Fall Bench and Bar Retreat,Meeting package and meals
664,r,New York State Bar Association,"Bolton Landing, NY",Commercial and Trading Litigation,"Transportation, hotel and food"
664,r,Federal Judicial Center,"New York, New York",Preparation of 2009 FDR,Professional fees
664,r,Federal Judicial Center,Ecuador,Internet Charges,Internet Charges
664,r,American Bar Association Busmess Law Section,"Toronto, Canada",ABA Annual Meeting,"Transportation, hotel and tood"
664,r,Federal Judicial Center,"New York, New York",Preparation of 2010 FDR,Professional fees
664,r,,,- CHINA CENTER WORKSHOPS IN CHINA,
664,r,FEDERAL BAR COUNCIL,SKYTOP. PA,FALL BENCH & BAR RETREAT,"PROGRAM, TRANSPORTATION. MEALS. HOTEL"
664,r,Patent Litigation Seminar,"Charleston, SC",Patent Litigation Seminar,"Transportation, meals and hotel"
664,r,Federal Judicial Center,"New York, New York",Preparation of 2012 FDR,Professional fees
664,r,CORNELL LAW SCHOOL,ITHACA. NY,MOOT COURT COMPETITION,"TRANSPORTATION, MEALS. HOTEL"
664,r,,,RETREAT CONFLICTS PANEL,
664,r,,"Romana, Domimican Republic",Bar Conference,
664,r,Federal Judicial Center,"New York, New York",Preparation of 2013 FDR,Professional fees
662,d,NATIONAL EMPLOYMENT LAW ASSOCIATION,,,"PHILADELPHIA, PA JUNE 24-25, 2005, ANNUAL CONVENTION PANEL, MEALS, HOTEL, TRANSPORTATION"
662,d,GLEN AND SANDY BROMAGEN,,,BUSINESS TRIP TO CHICAGO 2/23-2/25/06. LODGING AT FRIENDS CONDO. EXACT VALUE UNKNOWN
662,d,BOSTON COLLEGE LAW SCHOOL,,,"BOSTON, MA APRIL 19-20, 2006, MOOT COURT, MEALS, HOTEL TRANSPORTATION"
661,d,Govemance Instiute,,,"June 27.36 = Ausimor. DC, Meeting of the Governance Wnstitvie (Transpecation, Meals, and Roem)"
661,d,American Bar Asseciation,,,"March 18-20 ~ Washington, DC, Meeting of the Commission on Loan Repayment and Forgiveness {Transpertation, Meals, and Room)"
661,d,Governance [nstitute,,,"February [4-17  Washington, DC; Meeting of the Governance Institute (Transporation, Meals, and Room)"
660,r,,,,of EAT RM & fa Ea aes FT ae feel
656,d,US Commerce Department,"Abuja, Nigena",Speaker at Program,"Travel, food and lodging"
656,d,John Marshall Law School,"Beijing, China",Participant in Program for Law Students,"Travel, food and lodging"
656,d,South florida Bankruptcy Bar Association,"Bonita Springs, Florida",Discussion Leader in Education Programs,"Travel, food and lodging"
656,d,George Mason University,"Tucson, Arizona",Participant in Education Program,"Travel, food and lodging"
656,d,Washington University School of Law,"St. Louis, MO",Delivered Speech to freshman law class,Travel and food
656,d,National Assoc of Chapter Thirteen Trustees,,,"Travel/Food and dging re serving as panelist at Conference/ Denver, Colorado"
656,d,Federal Judge's Assoc,,,"Travel/food and lodging for attendance at board of director's meeting/ Washington, DC"
656,d,National Bar Ass'n,,,"07 Atrlanta, Ga"
656,d,DePaul University,,,"Beijing/Shanghai, China"
656,d,Federal Judge's Assoc,,,"Washington, D.C"
656,d,National Conf of Bankruptcy Judges,,,"Travel, food and lodging to participate as panelist (seminar)"
656,d,National Conference of State Courts,,,"Conducted seminar for Nigerian judges Abuja, Nigeria Travel, food and lodging"
656,d,American Bankruptcy Institute,,,"Particiapate as panelist in educational program Traverse City, Michigan Travel, food and lodging"
656,d,Just The Beginning foundation,,,"Travel Food and Lodging to attend dedication of Federal courthouse in Columbia, SC"
656,d,Federal Bar Association,,,"Travel food and Lodging at board meeting Washington, DC"
656,d,National Conf of Bankruptcy Judges,,,"Travel, food and lodging to participate as panelist (seminar) Nashville, Tennessee"
656,d,National Conf of Bankruptcy Judges,,,"Travel/Food and dging re serving as panelist at Conference/ San Antonio, Texas"
656,d,Federal Judge's Assoc,,,"Travel/food and lodging for attendance at board of director's meeting/ Washington, DC"
656,d,General Electric Corp.,,,"Travel/food and lodging as panelist on program re federal judges/ Crotonville, NY"
656,d,American Constitution Society,,,"Travel and Lunch as panelist at annual convention Washington, DC"
656,d,South Florida Bankruptcy Bar Association,,,"Travel/food/lodging in connection with role as discussion leader at annual seminar in Key Largo, Florida"
654,r,NYU and Columbia Schools of Law,"Manhasset, NY",Attend seminar on International Human Rights and Humanitarian Laws,"Transportation, lodging, food"
654,r,American Bar Assn Forum on Communications Law,"Napa Valley, CA",Judge moot court competition,"Transportation, lodging, food"
654,r,Federal Judges Assn,"Washington, DC",Attend annual board meeting,"Transportation, lodging, food"
654,r,Federal Judges Assn,"Dallas, TX",Attend annual board meeting,"Transportation, lodging, food"
654,r,Federal Judges Assn,"Washington, DC",Attend annual board meeting,"Transportation, lodging, food"
654,r,University of San Diego,"San Diego, CA",Teaching in Junistin Residence program,"ation, lodging. meals"
654,r,University of Florida School of Law,"Gainesville, FL",Serve as Jurist in Residence,"Transportation, lodging, food"
650,d,American Bar Association,"Dallas, TX",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Dallas, TX",Annual Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Washmgton, DX",Board Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"Sun Francisco, CA",Midyear Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Sun Francisco, CA",Midyear Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Phoenix, AZ",Board Meeting,"Transportaion, Lodging and Food"
650,d,Toeellectual Property Law Association,"Chicago, IL",Annual Dinner,Lodging
650,d,American Bar Association,"Orlando, FL",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Orlando, FL",ABA Annual Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"San Francisco, CA",Annual Meeting,"Tranportation, Lodging and Food"
650,d,Milwaukee Bar Association,"San Francisco, CA",ABA Annual Meeting,"Transportation, Lodging and Food"
650,d,Just the Beginning Foundation,"Atlanta, GA",Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Washington, DC",Board Meeting,"Transportation, Lodging and Food"
650,d,Amencan Bar Association,,,"February 10 - 14, 2005, Salt Lake City, Utah, Annual Meeting, Transportation, Lodging and Food steer  "
650,d,American .3ar Association,"Octoer 26 -27, 200¢ Locging anc 7ooc","1s, “exas, Committee 'V eeting,","“ransHortation,"
650,d,American .3ar Association,,,"February 9-° 7, 2006, Chicago, L, Annua Veeting, rans-ortation, Loc ging anc. 7ooc."
650,d,American Bar Association,"Los Angeles, CA",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Los Angeles, CA",ABA Annual Meeting,Lodging and Food
650,d,Justice At Stake Campaign,"Washington, DC",Board Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"New York, NY",ABA Annual Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"New York, NY",Annual Meeting,Lodging and food
650,d,Just the Beginning Foundation,"Washington, DC",Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Washington, DC",Board Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,,,
650,d,American Bar Association,"Houston, TX",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Houston, TX",Annual Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake,"Washmgton, DX",Board Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"Chicago, IL",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Chicago, IL",Annual Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"Rancho Mirage, CA",Seminar,"Transportation, Lodging and Food"
650,d,American Bar Association,Boston. MA,Midyear Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"San Diego, CA",Seminar,"Tansportation, Lodging and Food"
650,d,Justice At Stake,"San Francisco, CA",Board Meeting,"Transportaion, Lodging and Food"
650,d,American Bar Association,"Atlanta, GA",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Atlanta, GA",ABA Annual Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Washington, IX",Board Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"Toronto, Canada",Midyear Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"Toronto, Canada",Midyear Meeting,"Transportation, Lodging and Food"
650,d,Justice At Stake Campaign,"Chicago, IL",Board Meeting,"Transportation, Lodging and Food"
650,d,American Bar Association,"New Orleans, LA",Annual Meeting,"Transportation, Lodging and Food"
650,d,Milwaukee Bar Association,"New Orleans, LA",Annual Meeting,"Transportation, Lodging and Food"
650,d,Amencan Bar Association,"Chicago, IL",Midyear Meeting,"Transportation, Lodging and Food"
650,d,Intellectual Property Law Association of Chicgo,"Chicago, IL",Annual Dinner,Lodging
650,d,American Bar Association,"San Diego, CA",Mid-Year Meeting,"Transportation, Lodging, and Food"
650,d,American Bar Associaton,"Atlanta, GA",TIPS Conference: Torts and Insurance,"Transportation, Lodgmg, and Food"
650,d,American Bar Association,"Miami, FL",Mid-Year Meeting,"Transportation, Lodging, and Food"
650,d,Milwaukee Bar Association,"Sun Diego, CA",ABA Mid-Year Meeting,"Iransportation, Lodgmg, and Food"
650,d,Milwaukee Bar Association,"San Francisco, CA",ABA Annual Meeting,"Transportation, Lodging, and Food"
650,d,JIBF- APO,"New York, NY",National Conference,Lodging and Food
649,r,Ce) Loa T BAT TSO vn Pp ul  1 SOE ia Scheel a,,,"Way 2-0 Contenenee 6.” Fie LA 5 ding! Tenia, ny « fn aw r . SE] Yat heme 10 $48 Fre 200 Rn PIT eR em re"
649,r,,,,"Transportation, Meals"
649,r,"Amgre Aba mies, yin Adena] ogy Law Assocation",,re a ie sl LT EY “aren ASSOC OF CIVIC Organization funded by bar grop,ie de dale i J ae te ie a ha
649,r,Federal Circuit Bar Association,"Dana Pont, CA",Meeting of Federal Circuit Bar Association,"Transportation, Meals and Lodging"
649,r,Federal Circuit Bar Association,"Shanghai, China",Meeting of Federal Circuit Bar Association,"Transportation, Meals and Lodging"
649,r,IP Section of Georgia State Bar Association,"Cabo St. Lucas, Mexico",CLE Conference,"Transportation, Meals, and Lodging"
649,r,Federal Circuit Bar Association,Beijing and Guangzhou China,Conterence with Chinese Judges,Transportation
649,r,Federal Circuit Bar Association,"San Diego, CA",Bench and Bar Conference,"Transportation, Meals, and Lodging"
649,r,RT ET pan gy WE Association,El TON ———,"Lr TE, Ser ar gl fd of Georgia State Bar Association",ie de dale i J ae te ie a ha
649,r,Association,,re a ie sl LT EY “aren ASSOC OF CIVIC Organization funded by bar grop,
649,r,Association Rete,,"Lr TE, Ser ar gl fd of Georgia State Bar Association",iT HH a RE
649,r,Southern Methodist University Law School,"Dallas, TX",Patent Law Conference at Law School,"Transportation, Meals, and Lodging"
649,r,Association,,Georgia State Bar Association,
647,r,Federalist Society Convention,"Washington, D.C.",Attend the National Lawyers Convention,"Transportation, lodging and meals"
647,r,Liberty Fund,,,"October 24-26, Richmond, VA, colloquium, (wanspariation, meals 2nd rosm}."
647,r,Louisiana Association of Defense Ceunsel,,,"April 7-11, Lisbon, Portugal, Counsel's annual meeting, (wranspertation, meals and room)."
647,r,"George Mason University School of Law, Law & Economics Center",,,"Marck 10-18, San Diego, CA, seminar for Judges, {ansportaion, meals and room)"
647,r,St. Thomas More Society,,,
647,r,Ave Maria School of Law,,,
647,r,Columbia Law School,,,
647,r,Law School -,,,
647,r,Geo. Mason University Foundation,,,"San Diego, CA"
647,r,Yale Federalist Society,"New Haven, CT","Delivered a speech,","Transportation, lodging and meals"
647,r,FREE Foundation,"Gallatin Gateway, MT",Attended a seminar,"Transportation, lodging and some meals"
647,r,Witherspoon Institute Princeton University,"Princeton, NJ",Delivered a speech.,"Transportation, lodging and some meals"
647,r,New York University School of Law,"New York, New York",Judge final round of the moot court competition,"Transportation, lodging and meals"
647,r,University of Virginia,"Charlottesville, Virginia",Judge final round of the moot court competition,"Transportation, lodging and some meals"
647,r,Economics and the Environment,NJGHIGRIIN Jal Ya yy ivmiviniane,FAITE AAV Shad,
647,r,Economics and the Environment (FREE),,,Ik cals CI php
647,r,,,the Federalist Society's convention,
647,r,Antonin Scalia Law School,,Ol wl A 3 To SRI ay the Economics of Corpratae & Securities Law,Tr vd TT rap roan TT Th ae
647,r,Federalist Society Convention,"Washmgton, D.C",Attend the National Lawvers Convention,"Transportation, lodging and meals"
647,r,Liberty Fund,"Sausalito, CA",Attended Colloquium,"Transportation, lodging and meals"
647,r,"Witherspoon Institute, Princeton University","Princeton, NJ",Delivered a speech,"Transportation, lodging and some meals"
647,r,Economics and the Environment (FREE),ai Ny all Sy re,,her Cumin aids di pr MUL A le dat meals
647,r,,,Maral Foundations of Law Seminar,
647,r,Economics and the Environment,Ne JET,,
646,r,George Mason Law and Economics Center,,,Contracts Seminar; Arizona; October 21-27. 2005
642,d,Just The Beginning Foundation,,,"Sept. 30-Oct. 3, Philadelphia, PA Conference (Transportation, Food and Hotel)"
633,r,EDTX Bar Association,San Antonio TX,Judges Meeting,Meal
633,r,EDTX Bar Association,"New Orleans, LA",5th Circuit Conference,Meal
633,r,EDTX Bar Association,Pottsboro & Plano TX,Planning meeting for Bench Bar Conference,Three meals
633,r,EDTX Bar Association,"Plano, TX",Bench Bar Conference,Two meals
633,r,EDTX Bar Association,"Sherman, TX","Speaker, Austin College Law Symposium","mileage, three meals, one night in hotel"
633,r,Austin Bar Association Intellectual Property Law Association,,,"Nov. 10-11, Austin, TX, Attend Appreciation Dinner for Fed. Cir. Judge, and District Judges with patent cases. (Milage, meals, hotel)"
633,r,"University of Texas School of Law, Continuing Legal Education",,,"October 25-26, Austin, TX Speaker on Patent Law to Attorney CLE seminar. (Milage meals, and hotel)"
633,r,State Bar of Texas,,,"July 27-28, Lake Tahoe CA. Speaker on Patent Law to Attorney CLE seminar. (Travel, meals, and hotel)"
633,r,Education in Colorado Inc. (Atty CLE program),,,
633,r,State Bar of Texas (Atty CLE program),,,"Lake Tahoe, CA"
633,r,"Bei (iT CE TARR Al get Law Assoc, (Atty CLE program)","INOW fT UIA, IN","Urlaiie 2) Htlbioll 5"" Tamil. Program","15AYUI, MINAS, (TU TUG"
633,r,"""Economics & Environment (CLE program)",NITCQITALIIIN NJAC TYFG iv Fd,nanotechnology,FIR TNly NIGIOy SN TVR
633,r,State Bar of Texas (Atty CLE program),"San Antonio, TX",CLE Speaker Mumicipal Law Program,"Travel, meals, and hotel"
633,r,Minnesota CLE,"Minneapolis, MN",CLE Speaker- Patent Law Program,"Travel, meals, and hotel"
633,r,U. of Texas School of Law (Att y CLE program),"Alexandria, VA",CLE Speaker - Patent Law,"Travel meals, and hotel"
633,r,State Bar of Texas,,,"July 29-29, San Antonio, TX. Speaker on Federal Court Practice to Attomey CLE seminar (Milage, meals, and one night at hotel)"
633,r,State Bar of Texas (Atty CLE Program),"Houston, TX",CLE Speaker - Federal Court Practice,Milage and lunch
633,r,Baylor University School of Law,"Waco, Texas","Judge, Law School Mock Trial competition","Travel, meals, and hotel"
633,r,"ASS YOM. Jot Meloy Association, Election Law Seminar","BAIA O, 1 AN",JIGARASR,IVAHIA EC alld 11d.
633,r,PAIGRIT SALLI IS Insititute (CLE Program),HAL THR,dba dh etnies - adie views on litigation presentations,BANE oe Lyi SEI tl Indy ¢RRIAE Er SRT Rell JILL
633,r,State Bar of Texas ( CLE Program),"San Antonio, TX",CLE Speaker - Advanced Patent Litigation,"Milage, Toll fees, meals and night at hotel."
633,r,Annual Conferenece on Patent Litigation,,Patras oe ore a eT MT ER discussions of patent issues.,
633,r,,,"Bar Board of Directors us Federal Judicial Liaison,",
633,r,,,"Bar Board of Directors us Federal Judicial Lixison,",
633,r,Association,,Rapin» AS wiasde ti 2m Aca per Shade at Annual Bench-Bar meeting.,
633,r,"Te AAT ea ral TT) Association, Election Law Seminar",,wii Thu,
633,r,Insititute (CLE Program),,Cr Oy a a aim LT views on litigation presentations,EE TT lH
633,r,State Bar of Texas ( CLE Program),"San Amtomo, TX",CLE Speaker - Advanced Patent Litigation,"Milage, Toll fees, meals and night at hotel."
633,r,University of Texas School of Law,"Alexandna, VA",Speak at LT. [ith Annual Patent Law Instite,"Milage, parking, meals, 1 might at hotel"
633,r,New York Intellectual Property Law Assoc.,"New York, NY",Attend meeting and annual Judiciary Dinner.,"Air Tare, might at hotel, meals, airport parking, Uber fare in NY."
633,r,International Law,,lmovation Dinner & Award Ceremony.,
633,r,,,20d Intemational IP Court Conference,
633,r,(coordinating w/ Patent Court of Korea),,"seminar, attend KIPLA dinner",
633,r,,,several panels at Annual Bench-Bar meeting.,GL sana. tll as pia Daf maln LG LT
633,r,,,"Multidistrict litigation and pseudo-MDLs,","parking, might at hotel,"
633,r,New York Intellectual Property Law Assoc.,"New York, NY","Speak at meeting, attend annual Judiciary Dinner.","Ar ture, 2 mights at hotel, meals, arport parking, Uber fare in NY."
633,r,,,held as part of Sth Circuit annual coference.,
633,r,A I = AT ToT Hain at hi er The TT,,nn of Court Meeting and presentation.,"breakfast, night at hotel"
633,r,,,rion fiadiSaiemotr sired Bar Meeting Bench-Bar meeting.,
633,r,Dt Ae ren i th ii ie Law,,Property Law Journal seminar,NR TI A Py TI) Lr TT Tre
633,r,Association,,several panels at Annual Bench-Bar meeting.,aii ai alii raed sll
633,r,,,"Bar Board of Directors us Federal Judicial Liaison,",
633,r,,,CLE and Professional Development Committees,
633,r,Political Science,,students & faculty; speak at Smo-U.S Judicial Seminar,meals. and hotel.
633,r,Ta m——_—,,Judges: Food Safety & Environmental Protection,
633,r,,,Bar Board of Directors as Federal Judicial Liaison,
633,r,Law Association,,dinner of IP Law Association.,a TE et TN ges LAT as
620,d,HARVARD LAW SCHOOL,CAMBRIDGE. MASS,CONFERENCE,AMENDMENT TO THE 2017 REPORT
620,d,YALE LAW SCHOOL,"NEW HAVEN, CT",CONFERENCE,AMENDMENT TO THE 2015 REPORT
620,d,Boies Schiller and Flexnor Lp,office,business,4.50
620,d,"Boies, Schiller and Flexnor LLP",office,business,247.23
620,d,"Boies, Schiller and Flexnor LLP",office,busmess,1004.08
620,d,"Benes, Schiller and Flexnor Lp",office,busmess,14.40
620,d,"Boies, Schiller and Flexnor LLP",office,busmess,275.80
620,d,"Boies, Schiller and Flexnor LLP",office,business,15.00
620,d,"Boies, Schiller and Flexnor LLp",office,business,17.63
620,d,"Boies, Schiller and Flexnor LLp",office,business,61603
620,d,"Boies, Schiller and Flexnor LLP",office,business,216.00
620,d,"Boies, Schiller and Flexnor LLP",office,busmess,64.00
618,d,Harvard Law School,"Cambridge, MA",Speaker at a Law School Class,"Transportation, meals, lodging"
618,d,American Bar Association,,NAPABA Northeast Regional Conference,
616,d,Montana Chapter Federal Bar Association,"Billings, Montana",Speaker at Mecting,"Meals, Lodging & Mileage"
616,d,MT Tral Lawyers Association,"Big Sky Resort, Big Sky. Montana",Speaker at Annual Convention,Meals and Lodging
613,d,Rasmuson Foundation,"Silver Salmon, Alaska",Meeting of non-profit leaders,"Transportation (part), lodging"
613,d,Rhodes Scholarship Committee,"Seattle, Washington",Selection of Rhodes Scholarship Recipient,"Transportation, meals"
613,d,COMPETITION,,COMPETITION,LODGING
613,d,MOOT COURT COMPETITION,,,
613,d,Women's Retreat,,NE women in the non-profit community,FT RG I “cul?
613,d,Women's Retreat,,NE women in the non-profit community,FT RG I “cul?
613,d,Rasmuson Foundation,"Silver Salmon Camp, Alaska",Women's Leadership Retreat,"Transportation, food, lodging, and entertainment"
613,d,Golden Gate University Law School,"San Francisco, California",Spoke at law school commencement,"Transportation, lodging, meals, parking"
613,d,"Bngham Young Umversity, J. Reuben Clark Law School","Provo, Utah",Judge moot court competition,"Transportation, rental car, lodging, meals, parking"
613,d,Women's Retreat,,women in the non-profit community,shal AN (JME i Adah EE
613,d,Women's Retreat,,NE women in the non-profit community,
613,d,Rasmuson Foundation - Recover Alaska Retreat,"Girdwood, Alaska",Recover Alaska Task Force meeting & retreat,"One might of lodging, meals"
613,d,New York University Law School,"Greentree, New York",Judicial Seminar,"Transportation, lodging, meals"
613,d,Rhodes Scholarship Committee,"Seattle, Washington",Selection of Rhodes Scholarship recipient,"Transportation, meals"
607,d,Yale University,"New Haven, CT",Teach,travel expenses
607,d,Yale University,"New Haven, CT",Teach,travel expenses
607,d,Harvard University,"Cambridge, MA",Speaker at Conference,travel expenses/hotel
607,d,Yale University,"New Haven, CT",Teach,travel expenses
